asin	val	productGroup	brand
B000V7H1FO	175.7	Speakers	Yamaha Audio
B000V8RCTS	19.95	Speakers	Monster
B000VZP040	295.73	Speakers	JBL
B000W0ETD2	13.43	Speakers	Ergotron
B000WG069C	24.02	Speakers	Wonpro
B000X1XP3U	217.65	Speakers	Sangean
B000XPG2QI	134.08	Speakers	Etymotic Research
B000Z80ICM	79.99	Speakers	APC
B000ZJZ7OA	58.49	Speakers	Creative
B00118ARTY	55	Speakers	Pyle
B0011TS8LM	35.31	Speakers	JLAB
B001202C44	395.55	Speakers	Energy
B00120WRSU	53.07	Speakers	RCA
B0012YHQVE	49.69	Speakers	Sangean
B00133UTRC	45.67	Speakers	Winegard
B0013CDZDI	50.46	Speakers	Pyle
B0013CXZZ6	89.99	Speakers	Sony
B0013J1DI0	349	Speakers	Audioengine
B0013OWPV4	32.99	Speakers	JVC
B0013P3ZOE	60.29	Speakers	JVC
B0013VCCD8	183.04	Speakers	RCA
B00140DBRY	29.03	Speakers	Sony
B00141DTFM	149.99	Speakers	Yamaha Audio
B0014T7W8Y	295.43	Speakers	Eton
B001587M02	119	Speakers	Klipsch
B0015A8Y3E	103.33	Speakers	BIC America
B0015A8Y5M	188.58	Speakers	BIC America
B0015L0T68	74.96	Speakers	SanDisk
B00166VDK8	249.95	Speakers	MEGACRA
B00166VDKS	179.99	Speakers	APTek
B00166VDLC	169.95	Speakers	JBL
B00166ZFSO	249.95	Speakers	JBL
B00166ZFXO	194.95	Speakers	JBL
B00167340Y	99.95	Speakers	JBL
B0016BQECA	13.15	Speakers	Jensen
B0016BTHTC	103.18	Speakers	OSD Audio
B0016D1UWC	75.32	Speakers	Crosley
B0016IXEWG	10.99	Speakers	Belkin
B0016OEV7C	33.68	Speakers	Sony
B00170HCOO	249	Speakers	Definitive Technology
B00178M1HE	15.19	Speakers	Naxa Electronics
B0017S37IG	188.39	Speakers	FAVI
B0017W3WDC	249.99	Speakers	Sangean
B0018782QI	159.97	Speakers	VegasDoggy
B0018MRK6Q	65.36	Speakers	Mustang
B0018QNYSK	199.95	Speakers	Polk Audio
B0018QNYVM	136.59	Speakers	Polk Audio
