asin	1	2	3	4	5
9042839	0	0	0	0	1
9185166	10	3	7	12	14
7519399	1	0	1	0	1
8932699	3	2	0	0	0
1145244	0	0	0	0	3
4007755	96	11	16	33	76
9652038	0	0	0	2	0
2898215	0	0	0	1	0
3927572	1	0	1	0	4
1276068	0	0	0	1	1
6860914	0	1	3	4	31
8283294	0	0	0	1	0
7193673	0	1	0	0	0
7531446	2	4	6	22	47
3167849	2	0	1	0	1
8587623	0	0	1	2	2
4864247	0	0	1	1	0
1936635	8	1	0	3	17
5736399	1	0	0	3	5
9129435	62	13	17	48	95
1756093	2	0	0	1	4
4170563	2	2	2	3	6
1609367	40	6	9	53	155
3703329	0	0	0	0	1
3055768	0	1	0	3	1
6670599	27	5	11	20	74
2286354	0	0	0	0	1
3036937	0	1	2	2	4
3869606	0	0	0	0	5
5966149	0	0	0	0	1
3825993	4	1	3	7	6
9728595	1	1	2	0	0
4041283	0	1	0	0	0
1136116	22	9	8	37	48
1200832	0	0	0	1	2
7147274	0	0	1	12	18
2208747	6	1	2	7	35
8852819	0	0	0	1	0
2204332	2	1	1	3	5
3841578	0	0	0	1	0
4211316	131	24	39	81	228
2688002	0	0	0	0	4
6929654	9	1	5	26	141
9914141	0	0	0	0	1
5840494	0	0	0	0	1
1905404	0	0	1	0	2
4797661	1	0	0	0	0
6120545	51	12	22	58	91
8087277	2	1	1	4	18
9816067	0	0	1	0	1
1174831	3	1	1	2	4
5835316	7	1	7	23	82
2478470	1	0	1	8	17
9239457	0	0	0	0	3
7678366	0	0	0	0	1
8868126	0	0	0	0	2
5423060	2	1	2	1	8
8111868	1	2	1	17	69
6136547	0	0	0	0	1
4196870	0	0	0	1	0
1327682	0	0	0	0	1
8111529	16	8	10	64	127
1026180	1	1	4	16	44
7853576	0	0	0	2	8
4269379	0	0	0	2	0
7932265	1	0	0	4	12
3056125	4	1	4	9	26
4409469	0	0	0	2	0
6893492	0	0	0	1	0
8856959	0	3	2	2	13
3114068	8	0	2	7	4
3334148	7	1	8	44	165
6753847	5	1	1	16	26
5006758	1	1	0	1	2
5147124	1	0	0	0	0
4034404	58	12	13	47	66
1093039	3	1	2	0	18
6582919	6	1	3	5	9
3516266	0	0	0	1	0
8654078	1	1	2	1	2
1323349	3	0	2	2	13
8247574	0	0	0	3	3
6119032	0	1	1	3	9
7757115	26	3	10	33	80
1596770	0	0	1	1	0
1663768	0	0	0	0	1
3520697	1	0	1	0	3
5326892	63	16	7	37	71
7815659	0	0	0	0	3
8277987	3	0	0	1	3
2971766	2	0	1	2	27
7048620	0	0	0	1	0
1388677	13	5	3	16	63
2083333	0	0	1	2	5
7311321	9	3	2	5	6
2846554	3	0	3	9	31
5750368	12	4	5	2	12
3941919	10	0	0	2	6
1816400	0	0	0	0	1
9692369	56	13	22	40	56
2261735	6	3	4	11	25
4129391	2	0	0	1	10
5660506	7	0	2	6	44
2540449	2	1	1	0	3
5032823	3	0	0	6	17
2037838	1	0	0	0	1
8195509	1	1	1	4	17
1906308	0	0	0	0	2
6182531	2	2	0	8	8
6655853	0	0	0	6	12
3257806	0	1	0	0	5
2806387	16	3	10	41	98
5614096	0	2	0	1	8
1733718	2	1	1	5	12
5447273	1	0	0	3	7
5283796	5	0	1	4	7
1827677	1	0	1	0	1
3557301	2	2	2	3	14
9620838	0	0	1	1	8
2265212	1	1	1	1	4
7806408	9	2	7	27	109
7998293	4	2	2	0	5
2937695	0	0	1	1	3
9437226	19	5	14	108	257
6710419	0	0	0	5	3
1825591	2	0	2	1	2
8826573	20	6	7	12	26
8485822	0	0	0	0	5
6693931	2	1	5	20	166
8522984	0	0	1	0	0
9537772	0	0	0	0	1
5329111	0	0	0	1	0
2239506	24	16	15	54	77
3889922	6	2	7	51	110
1365392	0	1	0	3	11
9457839	0	0	0	0	1
9625550	0	0	3	5	12
8716359	50	12	15	49	134
5818958	1	0	0	0	6
7512764	1	1	1	12	24
2838811	3	0	1	8	10
1893582	4	2	3	25	217
4100410	0	0	0	4	6
6561142	2	0	3	0	0
7445163	0	0	0	6	8
8269456	0	0	0	0	1
5659082	11	5	8	58	197
2701289	1	1	1	6	73
1982322	1	0	2	0	1
2782257	2	0	1	3	16
3924917	0	0	0	3	9
7162470	6	4	4	21	63
9361958	5	1	0	1	0
1436267	1	1	1	1	1
9965071	3	2	0	1	2
5201685	0	0	0	0	2
1383107	7	2	2	16	137
4506803	2	0	2	16	28
7919731	0	1	3	2	10
4568258	1	0	1	4	47
6157232	0	0	0	4	10
6312523	0	0	2	3	2
7360877	1	0	0	0	0
1796686	51	9	42	149	298
5601780	3	2	3	9	7
1772723	1	0	0	6	15
5042857	0	0	0	0	6
8497094	7	2	6	12	51
6807599	0	0	0	2	6
7024053	1	0	2	5	17
7603699	3	1	6	32	89
5371237	0	0	0	1	5
8505253	11	1	5	13	89
2644603	0	0	0	0	1
8024036	1	3	3	12	76
4584236	24	12	20	37	82
7996252	1	0	2	6	1
1910616	1	0	1	0	1
8569488	5	0	3	38	124
1275638	1	0	1	3	3
